0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
15	16
16	17
17	18
18	19
19	20
20	21
21	22
22	23
24	25
25	26
26	27
13	27
28	29
29	30
30	31
31	32
32	33
33	34
34	35
35	36
36	37
37	38
39	40
40	41
41	42
42	43
43	44
44	45
45	46
46	47
47	48
48	49
49	50
51	52
52	53
53	54
54	55
55	56
56	57
57	58
58	59
59	60
60	61
61	62
62	63
64	65
65	66
66	67
67	68
68	69
69	70
70	71
71	72
72	73
73	74
74	75
75	76
76	77
78	79
79	80
80	81
81	82
82	83
83	84
84	85
85	86
86	87
87	88
88	89
89	90
90	91
92	93
93	94
94	95
95	96
96	97
97	98
98	99
99	100
100	101
101	102
102	103
103	104
104	105
106	107
107	108
108	109
109	110
110	111
111	112
112	113
113	114
114	115
115	116
116	117
117	118
118	119
119	120
121	122
122	123
123	124
124	125
125	126
126	127
127	128
128	129
129	130
130	131
131	132
132	133
133	134
134	135
136	137
137	138
138	139
139	140
140	141
141	142
142	143
143	144
144	145
145	146
146	147
147	148
148	149
23	24
150	151
151	152
152	153
153	154
154	155
155	156
156	157
157	158
158	159
160	161
161	162
162	163
163	164
164	165
165	166
166	167
168	169
169	170
170	171
171	172
152	167
31	152
31	43
43	56
5	56
5	70
70	84
84	98
98	113
113	128
128	143
21	143
135	173
120	135
105	120
91	105
77	91
12	77
12	63
50	63
38	159
159	160
160	168
14	168
28	40
40	53
2	53
2	67
67	81
81	95
95	110
110	125
125	140
24	140
29	150
29	41
41	54
3	54
3	68
68	82
82	96
96	111
111	126
126	141
23	141
151	174
30	151
30	42
42	55
4	55
4	69
69	83
83	97
97	112
112	127
127	142
22	142
166	175
153	166
32	153
32	44
44	57
6	57
6	71
71	85
85	99
99	114
114	129
129	144
20	144
165	176
154	165
33	154
33	45
45	58
7	58
7	72
72	86
86	100
100	115
115	130
130	145
19	145
164	172
155	164
34	155
34	46
46	59
8	59
8	73
73	87
87	101
101	116
116	131
131	146
18	146
171	177
163	171
156	163
35	156
35	47
47	60
9	60
9	74
74	88
88	102
102	117
117	132
132	147
17	147
170	178
162	170
157	162
36	157
36	48
48	61
10	61
10	75
75	89
89	103
103	118
118	133
133	148
16	148
169	179
161	169
158	161
37	158
37	49
49	62
11	62
11	76
76	90
90	104
104	119
119	134
134	149
38	50
39	52
1	52
1	66
66	80
80	94
94	109
109	124
124	139
25	139
0	65
65	79
79	93
93	108
108	123
123	138
26	138
92	107
107	122
122	137
27	137
149	173
15	149
14	179
178	179
177	178
172	177
172	176
175	176
167	175
167	174
150	174
28	150
28	39
39	51
0	51
0	64
64	78
78	92
92	106
106	121
121	136
13	136
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
15	16
16	17
17	18
18	19
19	20
20	21
21	22
22	23
24	25
25	26
26	27
13	27
28	29
29	30
30	31
31	32
32	33
33	34
34	35
35	36
36	37
37	38
39	40
40	41
41	42
42	43
43	44
44	45
45	46
46	47
47	48
48	49
49	50
51	52
52	53
53	54
54	55
55	56
56	57
57	58
58	59
59	60
60	61
61	62
62	63
64	65
65	66
66	67
67	68
68	69
69	70
70	71
71	72
72	73
73	74
74	75
75	76
76	77
78	79
79	80
80	81
81	82
82	83
83	84
84	85
85	86
86	87
87	88
88	89
89	90
90	91
92	93
93	94
94	95
95	96
96	97
97	98
98	99
99	100
100	101
101	102
102	103
103	104
104	105
106	107
107	108
108	109
109	110
110	111
111	112
112	113
113	114
114	115
115	116
116	117
117	118
118	119
119	120
121	122
122	123
123	124
124	125
125	126
126	127
127	128
128	129
129	130
130	131
131	132
132	133
133	134
134	135
136	137
137	138
138	139
139	140
140	141
141	142
142	143
143	144
144	145
145	146
146	147
147	148
148	149
23	24
150	151
151	152
152	153
153	154
154	155
155	156
156	157
157	158
158	159
160	161
161	162
162	163
163	164
164	165
165	166
166	167
168	169
169	170
170	171
171	172
152	167
31	152
31	43
43	56
5	56
5	70
70	84
84	98
98	113
113	128
128	143
21	143
135	173
120	135
105	120
91	105
77	91
12	77
12	63
50	63
38	159
159	160
160	168
14	168
28	40
40	53
2	53
2	67
67	81
81	95
95	110
110	125
125	140
24	140
29	150
29	41
41	54
3	54
3	68
68	82
82	96
96	111
111	126
126	141
23	141
151	174
30	151
30	42
42	55
4	55
4	69
69	83
83	97
97	112
112	127
127	142
22	142
166	175
153	166
32	153
32	44
44	57
6	57
6	71
71	85
85	99
99	114
114	129
129	144
20	144
165	176
154	165
33	154
33	45
45	58
7	58
7	72
72	86
86	100
100	115
115	130
130	145
19	145
164	172
155	164
34	155
34	46
46	59
8	59
8	73
73	87
87	101
101	116
116	131
131	146
18	146
171	177
163	171
156	163
35	156
35	47
47	60
9	60
9	74
74	88
88	102
102	117
117	132
132	147
17	147
170	178
162	170
157	162
36	157
36	48
48	61
10	61
10	75
75	89
89	103
103	118
118	133
133	148
16	148
169	179
161	169
158	161
37	158
37	49
49	62
11	62
11	76
76	90
90	104
104	119
119	134
134	149
38	50
39	52
1	52
1	66
66	80
80	94
94	109
109	124
124	139
25	139
0	65
65	79
79	93
93	108
108	123
123	138
26	138
92	107
107	122
122	137
27	137
149	173
15	149
14	179
178	179
177	178
172	177
172	176
175	176
167	175
167	174
150	174
28	150
28	39
39	51
0	51
0	64
64	78
78	92
92	106
106	121
121	136
13	136
