-12.11 	14.60 	0.01 	0.00 	0.00 	1.00 
-10.18 	15.13 	0.01 	0.00 	0.00 	1.00 
-8.25 	15.66 	0.01 	0.00 	0.00 	1.00 
-6.33 	16.20 	0.01 	0.00 	0.00 	1.00 
-4.40 	16.73 	0.00 	0.00 	0.00 	1.00 
-2.47 	17.26 	0.00 	0.00 	0.00 	1.00 
-1.27 	17.60 	0.00 	0.00 	0.00 	1.00 
0.69 	17.18 	0.02 	0.00 	0.00 	1.00 
2.64 	16.77 	0.03 	0.00 	0.00 	1.00 
4.60 	16.36 	0.04 	0.00 	0.00 	1.00 
6.56 	15.95 	0.06 	0.00 	0.00 	1.00 
8.52 	15.54 	0.07 	0.00 	0.00 	1.00 
10.47 	15.13 	0.08 	0.00 	0.00 	1.00 
12.42 	14.72 	0.10 	0.00 	0.00 	1.00 
13.68 	13.16 	0.08 	0.00 	0.00 	1.00 
14.94 	11.61 	0.06 	0.00 	0.00 	1.00 
16.20 	10.06 	0.05 	0.00 	0.00 	1.00 
17.47 	8.51 	0.03 	0.00 	0.00 	1.00 
19.17 	6.42 	0.01 	0.00 	0.00 	1.00 
19.42 	4.43 	0.01 	0.00 	0.00 	1.00 
19.67 	2.45 	0.01 	0.00 	0.00 	1.00 
19.92 	0.47 	0.01 	0.00 	0.00 	1.00 
20.17 	-1.52 	0.01 	0.00 	0.00 	1.00 
20.43 	-3.56 	0.01 	0.00 	0.00 	1.00 
19.94 	-5.49 	0.01 	0.00 	0.00 	1.00 
19.45 	-7.43 	0.00 	0.00 	0.00 	1.00 
18.96 	-9.37 	0.00 	0.00 	0.00 	1.00 
18.48 	-11.25 	0.00 	0.00 	0.00 	1.00 
16.84 	-12.39 	0.00 	0.00 	0.00 	1.00 
15.19 	-13.53 	0.00 	0.00 	0.00 	1.00 
13.55 	-14.67 	0.00 	0.00 	0.00 	1.00 
12.24 	-15.58 	0.00 	0.00 	0.00 	1.00 
10.59 	-16.72 	0.00 	0.00 	0.00 	1.00 
